33400,8.45
29200,8.45
24800,8.49
20400,8.24
86100,7.91
172800,7.49
92100,7.37
49200,7.12
45600,7.41
24900,7.45
42800,7.41
11000,7.41
44400,7.2
78800,6.91
495200,6.29
66400,6.38
166500,6.87
87800,6.62
58200,6.5
63800,6.29
36200,6.42
108400,6.13
133400,6.05
33200,6.21
46800,6.46
54600,6.62
24000,6.46
29800,6.05
79800,5.8
86600,5.96
51900,5.84
145800,5.3
84000,5.34
216600,5.3
114200,5.22
56000,5.22
65700,5.09
107100,4.76
463500,4.31
141000,4.26
75400,4.31
228000,3.81
101600,4.1
320800,4.93
323800,4.68
100000,4.84
150400,4.68
150900,4.6
152200,4.68
98000,4.84
66800,4.8
98800,4.55
86800,4.72
112400,5.05
108400,4.68
54000,4.47
43800,4.43
66900,4.76
36600,4.55
25500,4.47
39400,4.39
38700,4.39
61000,4.39
83800,4.6
43200,4.47
42800,4.39
210800,4.18
35000,4.18
154500,3.97
59600,3.97
77800,3.89
44400,3.93
85500,3.77
98700,3.93
71100,3.73
44000,3.64
58600,3.44
45000,3.4
57900,3.4
74800,3.23
81000,3.15
63000,2.98
129300,3.19
146400,3.19
307500,3.4
43200,3.23
53700,3.11
61800,3.23
79500,3.06
84800,2.98
37000,3.02
33000,3.02
106500,2.9
114000,2.69
115600,2.4
166800,2.07
141800,2.28
150400,2.44
206800,2.57
169000,3.27
351200,3.89
110800,3.35
156000,3.44
48200,3.52
93200,3.73
183000,3.93
66800,3.85
61800,3.4
48600,3.52
72900,3.35
48900,3.56
63600,3.81
121000,3.6
28800,3.64
18200,3.73
27400,3.4
37800,3.48
77800,3.23
45300,3.27
46500,2.98
14600,3.02
28400,2.98
65700,2.9
134100,3.52
216300,3.89
45300,3.64
69400,3.93
125400,4.22
94000,4.02
55600,4.22
183600,4.55
36000,4.35
17400,4.31
58400,4.14
39600,4.31
52400,4.14
13000,4.14
39800,4.02
32700,4.1
49500,4.14
168800,4.55
113100,4.64
44400,4.55
31600,4.6
110600,4.55
46600,4.55
74100,4.68
14700,4.47
14700,4.47
19800,4.43
30200,4.55
14200,4.43
20000,4.43
21900,4.47
149400,4.31
32400,4.31
53100,4.18
28400,4.1
88200,3.89
67600,3.73
15600,3.73
38200,3.77
62100,3.77
69300,3.85
36000,3.85
48400,3.81
29200,3.64
43600,3.56
40400,3.48
52200,3.48
65000,3.35
94400,3.44
77600,3.4
90900,3.44
128700,3.31
36800,3.27
20100,3.27
72200,3.23
51800,3.23
95800,3.15
205600,3.02
90400,3.31
89200,3.4
266100,3.85
136400,3.48
75900,3.35
99000,3.44
91500,3.35
294900,3.02
108900,2.98
86400,3.19
141900,3.11
60300,3.06
44200,3.02
96600,2.9
29000,2.86
86000,2.86
17800,2.9
57200,2.86
40000,2.86
75900,2.82
77800,2.73
65200,2.69
159000,2.82
50200,2.82
98200,2.77
134000,2.82
11000,2.73
18900,2.77
90600,2.86
26600,2.86
29800,2.82
12200,2.82
16200,2.82
19200,2.82
32400,2.73
51000,2.69
73500,2.65
138200,2.73
123900,2.77
20600,2.73
82800,2.77
44100,2.73
10200,2.77
91600,2.82
72600,2.86
60800,2.77
62800,2.69
51000,2.82
87200,2.9
69800,2.94
229200,3.31
219000,3.4
150000,3.48
237900,4.1
359700,4.18
96200,4.06
102400,3.97
43400,3.97
67400,3.85
52200,3.69
130600,3.48
81800,3.52
105000,3.73
57200,3.69
149800,3.97
211000,4.35
444000,5.26
171300,5.01
159800,5.01
89400,5.05
134400,5.13
110100,5.3
92400,5.13
47000,5.26
30900,5.18
59200,5.3
33400,4.97
116700,5.22
76200,5.3
15900,5.05
28000,5.18
57600,5.18
105800,5.42
61800,5.42
40600,5.22
54800,5.26
19600,5.22
64400,4.97
30800,5.05
26400,5.09
14700,5.13
50200,5.18
25000,5.26
43600,5.13
157600,5.76
38000,5.55
24600,5.3
33300,5.22
140800,5.13
18800,5.13
27300,5.05
17100,4.93
53100,4.84
21400,4.89
9600,4.84
23800,4.84
4500,4.84
16000,5.01
51400,5.09
116600,5.22
56800,5.3
50100,5.38
17000,5.18
53800,5.38
46400,5.47
20800,5.47
166600,6.29
89800,6.21
73200,6.42
145000,6.62
252200,7.33
81200,7.41
291400,8.45
112800,8.36
102000,8.28
118400,8.61
121000,9.11
124500,8.2
85800,7.95
73200,8.61
67400,8.2
107700,7.78
30200,7.83
71600,7.83
66200,7.54
46800,7.37
32400,7.49
53200,7.25
48600,6.91
79200,6.5
57300,6.79
18600,6.71
67500,6.54
59400,6.96
87000,7.16
34800,7.29
33200,6.96
54800,6.38
28400,6.54
18400,6.21
49600,5.47
26400,5.84
15800,6.21
22200,6.21
31800,6.13
25400,6
37000,6.29
47200,6.62
21200,6.96
42400,6.75
10600,6.62
22000,6.71
31200,6.83
58400,7.33
111200,7.7
42000,7.54
13500,7.54
5400,7.2
56100,7.33
43800,7.74
25400,7.58
56200,7.78
63800,8.03
70200,7.95
23200,7.74
4000,7.45
16200,7.45
23000,7.58
10800,7.45
33400,7.45
32400,7.37
22400,7.45
34600,7.29
61500,7.58
19200,7.29
31600,7.41
9600,7.37
25600,7.29
75900,7.62
18600,7.54
31600,7.62
13400,7.37
14400,7.33
20700,6.83
53700,6.46
35600,6.38
27900,7.12
22200,6.62
10800,6.46
23800,6.58
34500,6.75
41400,6.79
26700,7.04
10800,6.79
10500,6.58
42600,6.54
24400,6.58
7800,6.62
44000,6.67
37500,6.58
6400,6.54
26600,7
53200,7.29
15000,6.79
56200,7.04
88000,7.45
66000,7.66
11100,7.33
257000,8.74
208400,8.9
66800,8.32
167400,8.24
31800,8.49
40800,8.32
15200,7.91
19400,7.62
20700,7.78
24400,8.07
19800,8.2
19200,8.07
12300,8.2
17200,8.16
47000,8.16
11600,7.91
11700,7.78
39900,7.74
12400,7.74
23600,7.54
25000,7.37
22200,7.37
40000,7.37
23200,7.45
15000,7.2
7800,6.96
61800,7.29
40400,7.25
55400,6.96
46200,7
33900,7
42400,6.96
20400,7.49
25400,7.08
16000,7.16
25400,6.96
23600,7.12
14000,7.2
22600,7.41
16400,7.2
7400,7.04
3400,7.12
16200,7.12
38000,6.71
31400,6.67
2700,6.46
8200,6.62
1800,6.54
12900,6.71
24900,6.79
19400,6.54
47400,6.29
8200,6.21
24000,6.13
74200,6.05
